Nombre,Empresa,Organismo,Sit.General,Tipo,Frac,N.Reg,Sustancia,Superf,Uds,Secc
2 A D SAN LUIS,"CARBONIFERA DEL EBRO, S.A.",LERIDA,Otorgado,C.Exp.Derivada,00,4098,LIN,6.7,H,D
2 ª DEMASÍA A PARÍS,"COMPAÑÍA ANDALUZA DE MINAS, S.A.",GRANADA,Otorgado,C.Exp.Directa,00,24825,FE,3.0,H,C
2 ABANDONADA,ANTRACITAS DE LA VELA S.A,LEON,Otorgado,C.Exp.Derivada,00,10088,CBN,36.0504,H,D
2 ADELA,HULLERA VASCO LEONESA S.A,LEON,Otorgado,C.Exp.Derivada,10,2191,CBN,38.91,H,D
2 AMP A ALEMANA,PETROFISICA IBERICA S.A.,CIUDAD REAL,Otorgado,C.Exp.Directa,00,11856,POM,26.0,H,C
2 AMP A ANGELES,ANTRACITAS DEL BIERZO S.L,LEON,Otorgado,C.Exp.Derivada,00,5947,CBN,20.0296,H,D
2 AMP A CONCHITA,HULLERA VASCO LEONESA S.A,LEON,Otorgado,C.Exp.Derivada,00,10842,CBN,30.0039,H,D
2 AMP A FELISA,,LEON,Otorgado,C.Exp.Derivada,00,7752,CBN,21.0129,H,D
2 AMP A FOLCH,"INDUSTRIA DE TRANSFORMACIONES, S.A",TERUEL,Otorgado,C.Exp.Directa,00,4266,ARC,4.0,H,C
2 AMP A LILLO LUMERAS 4,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,00,8420,CBN,6.0085,H,D
2 AMP A MANOLO 7,MINERO SIDERURGICA PONFERRADA S.A,LEON,Otorgado,C.Exp.Derivada,00,6315,CBN,8.0064,H,D
2 AMP A MARIA,MINERO SIDERURGICA PONFERRADA S.A,LEON,Otorgado,C.Exp.Derivada,00,5716,CBN,5.0055,H,D
2 AMP A MARIA DOLORES,ALTO BIERZO S.A,LEON,Otorgado,C.Exp.Derivada,00,10187,CBN,16.0117,H,D
2 AMP A MI CHATA,ANTRACITAS DE MATARROSA S.A,LEON,Otorgado,C.Exp.Derivada,00,6896,CBN,6.006,H,D
2 AMP A NEUTRALIDAD 3,"JUAN BAUTISTA , GARCIA  LOSA",LEON,Otorgado,C.Exp.Derivada,00,6411,CBN,35.0443,H,D
2 AMP A POCO FONDA,MINAS DEL ESCUDO S.A,LEON,Otorgado,C.Exp.Derivada,00,10141,CBN,252.3824,H,D
2 AMP A VIVALDI,BAGACO S.A,LEON,Caducado,C.Exp.Derivada,00,12311,,194.2281,H,C
2 AMP A WAGNER 1,INTAUXMA S.A.,LEON,Otorgado,C.Exp.Derivada,00,1452,,10.0132,H,C
2 AMP A WAGNER 5,INTAUXMA S.A.,LEON,Otorgado,C.Exp.Derivada,00,1226,,40.0622,H,C
2 AMPARO,HULLERA VASCO LEONESA S.A,LEON,Otorgado,C.Exp.Derivada,10,2188,CBN,11.9999,H,D
2 AMPIA DOS AMIGOS,LEONESA DE INVESTIGACIONES Y EXPLOTACIONES MINERAS,LEON,Otorgado,C.Exp.Derivada,00,8620,CBN,16.0124,H,D
2 AMPL.A S.PANCRACIO Y DEMASIA,,ASTURIAS,Caducado,C.Exp.Derivada,00,29214,,785.6956,H,D
2 AMPLIACION A CINCO AMIGOS,Caolines del Narcea S.L.,ASTURIAS,Caducado,C.Exp.Derivada,00,28536,CAN,142.0,H,C
2 AMPLIACION A LAS COLLADAS,"Caolines Ibéricos S.A., Caolines de Merillés S.L.",ASTURIAS,Otorgado,C.Exp.Derivada,00,28182,CAN,168.0,H,D
2 AMPLIACION A LAS COLLADAS 2F Y DEMASIA,Caolines Ibéricos S.A.,ASTURIAS,Otorgado,C.Exp.Derivada,20,28812,CAN,100.5061,H,D
2 AMPLIACION A LOS PANDOS,HUNOSA,ASTURIAS,Otorgado,C.Exp.Derivada,00,25935,HUL,4272.0,H,D
2 AMPLIACION A NUEVA PERDIZ,"Kinbauri España, S.L. , Caolines de Merillés S.L.",ASTURIAS,Otorgado,C.Exp.Derivada,00,29653,CAN,232.0,H,C
2 AMPLIACION A SIERRA MANTECA,"Caolines de Merillés S.L., Caolines del Narcea S.L.",ASTURIAS,Otorgado,C.Exp.Derivada,00,29556,CAN,964.0,H,C
2 ANITA,"HROS DE DELFIN , VEGA  CAMPAZAS",LEON,Otorgado,C.Exp.Derivada,00,9164,CBN,23.0294,H,D
2 ANTONIA,CARBONES SAN ISIDRO Y MARIA S.L,LEON,Otorgado,C.Exp.Derivada,00,8368,CBN,34.9887,H,D
2 AUMENTO A ESCOBAL TERCERO,NO PROCEDE/DESCONOCIDA,ASTURIAS,Trámite/otorgamiento,C.Exp.Derivada,00,16339,HUL,5.0,H,D
2 AUMENTO A MERCEDES SEGUNDA,Hierros y Manganesos S.A.,ASTURIAS,Otorgado,C.Exp.Derivada,00,27735,FE,47.0,H,C
2 AURRERA,HULLERA VASCO LEONESA S.A,LEON,Otorgado,C.Exp.Derivada,00,13594,CBN,107.0188,H,D
2 BUENA SUERTE,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,00,8653,CBN,73.0071,H,D
2 COFIÑAL,"LANDELINO , SANCHEZ  GARCIA",LEON,Caducado,C.Exp.Derivada,00,13799,CBN,83.9338,C,D
2 COMP A VIVALDI,BAGACO S.A,LEON,Caducado,C.Exp.Derivada,00,12021,,159.2639,H,C
